No,Station Name,Station ID,Address,City,State,Station Category
38,CAQM_038,CAQM 038,PEJABAT METEOROLOGI TEMERLOH,TEMERLOH,PAHANG,Sub Urban
39,CAQM_039,CAQM 039,SMK. JERANTUT,JERANTUT,PAHANG,Sub Urban
40,CAQM_040,CAQM 040,SEK. KEB. INDERA MAHKOTA,INDERA MAHKOTA,PAHANG,Sub Urban
41,CAQM_041,CAQM 041,SEK. KEB. BALOK BARU,BALOK BARU,PAHANG,Industry
42,CAQM_042,CAQM 042,SEK. MEN. BUKIT KUANG,KEMAMAN,TERENGGANU,Industry
43,CAQM_043,CAQM 043,KUARTERS TNB PAKA,PAKA,TERENGGANU,Industry
44,CAQM_044,CAQM 044,SEK. KEB. CHABANG TIGA,KUALA TERENGGANU,TERENGGANU,Urban
45,CAQM_045,CAQM 045,SEK. KEB. NYIUR TUJUH,BESUT,TERENGGANU,Sub Urban
46,CAQM_046,CAQM 046,SEK. MEN. TANAH MERAH,TANAH MERAH,KELANTAN,Sub Urban
47,CAQM_047,CAQM 047,SEK. MEN. KEB. TANJONG CHAT,KOTA BAHRU,KELANTAN,Sub Urban
48,CAQM_048,CAQM 048,PEJABAT JKR TAWAU,TAWAU,SABAH,Sub Urban
49,CAQM_049,CAQM 049,PEJABAT JKR SANDAKAN,SANDAKAN,SABAH,Sub Urban
50,CAQM_050,CAQM 050,SEK. MEN. KEB. TANSAU,KOTA KINABALU,SABAH,Sub Urban
51,CAQM_051,CAQM 051,SEK. MEN. KEB. BONGAWAN II,KIMANIS,SABAH,Industry
52,CAQM_052,CAQM 052,SEK. MEN. KEB. GUNSANAD,KENINGAU,SABAH,Background
53,CAQM_053,CAQM 053,KOLEJ VOKASIONAL LABUAN,LABUAN,LABUAN,Sub Urban
54,CAQM_054,CAQM 054,DEWAN SUARAH LIMBANG,LIMBANG,SARAWAK,Rural
55,CAQM_055,CAQM 055,INSTITUT LATIHAN PERINDUSTRIAN MIRI,PERMYJAYA,SARAWAK,Rural
56,CAQM_056,CAQM 056,SEK. MEN. DATO PERMAISURI,MIRI,SARAWAK,Sub Urban
57,CAQM_057,CAQM 057,SAMALAJU INDUSTRIAL ESTATE,SAMALAJU,SARAWAK,Industry
58,CAQM_058,CAQM 058,BALAI POLIS PUSAT BINTULU,BINTULU,SARAWAK,Sub Urban
59,CAQM_059,CAQM 059,POLITEKNIK MUKAH,MUKAH,SARAWAK,Rural
60,CAQM_060,CAQM 060,STADIUM TERTUTUP KAPIT,KAPIT,SARAWAK,Rural
61,CAQM_061,CAQM 061,IBU PEJABAT POLIS SIBU,SIBU,SARAWAK,Sub Urban
62,CAQM_062,CAQM 062,BALAI POLIS PUSAT SARIKEI,SARIKEI,SARAWAK,Rural
63,CAQM_063,CAQM 063,KOMPLEKS SUKAN SERI AMAN,SERI AMAN,SARAWAK,Rural
64,CAQM_064,CAQM 064,PEJABAT DAERAH PERUMAHAN SAMARAHAN,SAMARAHAN,SARAWAK,Rural
65,CAQM_065,CAQM 065,DEPOT UBAT KEMENTERIAN KESIHATAN MALAYSIA,KUCHING,SARAWAK,Urban
66,CAQM_066,CAQM 066,TAPAK SEMAIAN MAJLIS DAERAH TANGKAK,TANGKAK,JOHOR,Sub Urban
101,MCAQM_001,MCAQM 001,SEKOLAH KEBANGSAAN KAMPONG JOHAN SETIA,JOHAN SETIA,SELANGOR,Urban
102,MCAQM_002,MCAQM 002,IPD SERIAN,SERIAN,SARAWAK,Rural
103,MCAQM_003,MCAQM 003,POLITEKNIK KOTA KINABALU,KOTA KINABALU,SABAH,Urban
81,CAQM_081,CAQM 081,MOCKUP STATION,GLENMARIE,SELANGOR,Urban
